isotope,isotope_198,isotope_199,isotope_200,isotope_201,isotope_202
196,0,0,0.153,0,0
198,86.9581042,1.457352626,9.968,0.038989885,1.606578339
199,5.678678086,92.16591142,16.873,0.083380386,1.440527345
200,2.194722232,4.495083337,23.096,0.800753073,1.02036305
201,1.051696386,0.694815228,13.181,96.95664252,0.738252629
202,3.708235738,1.041128395,29.863,2.062178841,94.43496511
204,0.408563356,0.14570899,6.865,0.058055292,0.885780686
