sample,injection,MMHg196,IHg196,MMHg198,IHg198,MMHg199,IHg199,MMHg200,IHg200,MMHg201,IHg201,MMHg202,IHg202,MMHg204,IHg204
21,2,0,0,539,2066172,20744,1639693,4510,678708,78805,385033,171323,830470,0,0
21,3,0,0,2367,2225562,22337,1745010,5687,718215,84351,421281,184332,896947,0,0
22,1,0,0,2185,2213938,24237,1748198,6817,831211,68369,478652,162825,1018153,0,0
22,2,0,0,3652,1987793,24705,1594072,4825,757521,64381,430865,145767,936286,0,0
22,3,0,0,2150,1946131,23570,1591253,7883,738904,66040,442843,146421,902878,0,0
23,1,0,0,2417,2106715,23520,1595161,5483,790524,66266,455390,164292,976533,0,0
23,2,0,0,2261,2011427,22628,1568546,3733,750833,63014,442293,147792,921423,0,0
23,3,0,0,1910,1970924,21761,1464853,4245,757183,61961,421068,147842,921411,0,0
24,1,0,0,1867,1996254,22945,1487476,5541,679792,62311,391501,156710,832284,0,0
24,2,0,0,1745,2014717,24087,1502962,4910,688230,63820,390864,160350,830916,0,0
24,3,0,0,996,2093124,23154,1550529,5508,705857,71900,400885,164374,868417,0,0
25,1,0,0,1843,2017988,18802,1353304,5287,639747,59150,369328,163150,801287,0,0
25,2,0,0,2717,1997014,18610,1370660,5517,645768,60074,381521,156775,811733,0,0
25,3,0,0,2772,2214909,21920,1492592,5480,715409,66311,416737,170639,880479,0,0
26,1,0,0,1983,1943532,21863,1271443,4849,565024,62058,325581,148349,665930,0,0
26,2,0,0,2936,2049754,25661,1393218,3542,595911,63084,331158,164202,727020,0,0
26,3,0,0,1955,1880825,21902,1284866,4588,540259,58291,317496,152381,664282,0,0
27,1,0,0,1209,1983735,15460,1373035,4210,625575,53487,369695,142108,750887,0,0
27,2,0,0,2583,1899371,15518,1316151,5533,597727,53554,346180,134403,734136,0,0
27,3,0,0,1791,1883340,14993,1280779,4308,568999,55986,338063,137948,737897,0,0
28,1,0,0,1059,1860941,24970,1343025,4504,556926,63276,321139,150628,684953,0,0
28,2,0,0,2070,1959971,24044,1352225,4483,578161,67637,314632,158149,684748,0,0
28,3,0,0,1267,1908689,24845,1311671,5914,555600,61075,321511,153298,675684,0,0
29,1,0,0,1104,2126690,25548,1591994,5958,718164,79038,416690,168839,891913,0,0
29,2,0,0,2350,1908601,23878,1455687,5867,644281,67645,379852,149874,784549,0,0
29,3,0,0,933,1891426,25240,1451974,5480,653372,67923,372070,154329,806487,0,0
30,1,0,0,1758,2121665,25673,1696733,5086,841589,74172,495505,165454,1028381,0,0
30,2,0,0,1931,2048245,25114,1657102,4608,817523,68834,480738,153058,1019259,0,0
30,3,0,0,2205,2288543,29398,1854414,4800,940049,82379,526420,171562,1133156,0,0
31,1,0,0,1833,1671224,22345,1371044,4758,668523,71667,270033,140019,791610,0,0
31,2,0,0,1162,1673178,20694,1364408,3892,675056,75578,265021,136343,794660,0,0
31,3,0,0,1683,1790291,24812,1493344,4333,588855,79238,278101,147798,733751,0,0
32,1,0,0,1800,1881474,26742,1579893,4534,649534,89815,383705,173645,762174,0,0
32,2,0,0,1942,1685587,22136,1391719,4017,624556,77490,370602,150821,747312,0,0
32,3,0,0,2067,1757149,23820,1575537,4742,693673,90701,401911,166237,852824,0,0
33,1,0,0,2450,1744038,24124,1396695,6242,690701,82010,305432,158803,858323,0,0
33,2,0,0,2317,1786511,23588,1463902,4917,696046,80910,308363,157686,846730,0,0
33,3,0,0,2183,1790829,24352,1343140,6142,554360,75493,294685,156182,693947,0,0
34,1,0,0,1983,1999172,22070,1626584,3850,576744,79255,330170,158150,689609,0,0
34,2,0,0,1708,1985456,20169,1793649,5484,616585,73035,364747,147984,751922,0,0
34,3,0,0,1300,2211832,22137,1860071,4959,641494,80043,374790,161515,779526,0,0
35,1,0,0,1417,1813927,20219,1245839,3433,585518,66209,322829,144856,690442,0,0
35,2,0,0,1933,1962284,21669,1331278,5258,602086,73882,372026,161007,740653,0,0
35,3,0,0,1300,1823541,16877,1241178,5384,635221,64763,338163,136156,772517,0,0
36,1,0,0,1267,1978141,21903,1509980,5225,649111,74799,365218,166435,778893,0,0
36,2,0,0,1469,1991284,22937,1532782,4218,640695,81599,366635,177464,786753,0,0
36,3,0,0,1567,1948098,21636,1525216,4317,1232233,78146,354805,167905,1494009,0,0
37,1,0,0,1983,1831877,26238,2084395,4900,514963,123109,290935,160063,631022,0,0
37,2,0,0,1767,1885646,28155,2086104,5300,502432,122489,291882,171296,607238,0,0
37,3,0,0,1500,1890718,25529,2038064,5909,518012,127869,300463,164181,606801,0,0
38,1,0,0,1400,1853847,28014,2005834,5459,800855,121910,315172,151344,992906,0,0
38,2,0,0,2425,1881728,28372,2111545,5942,731391,130711,299339,165251,900503,0,0
38,3,0,0,2000,1904986,30423,2032047,5208,781710,125564,316148,164939,976892,0,0
39,1,0,0,1301,1797533,26938,1843389,4884,802437,107477,317116,151478,965265,0,0
39,2,0,0,1417,1900717,28305,2012640,4984,764990,121937,325464,165183,943082,0,0
39,3,0,0,2033,1852162,29239,1935026,5500,572186,111413,323357,164228,676960,0,0
40,1,0,0,1742,1710926,20953,1546431,4600,616859,79490,352398,157942,705222,0,0
40,2,0,0,1250,1794961,20753,1471137,4883,599270,83709,353835,153460,686687,0,0
40,3,0,0,1333,1749617,18578,1497630,4067,644466,81543,375363,149105,767541,0,0
41,1,0,0,1397,1712932,20920,1683211,6033,724814,79998,407842,128617,871159,0,0
41,2,0,0,1991,1882458,25021,1861903,4580,778919,93074,447993,147898,958462,0,0
41,3,0,0,1749,1806334,24420,1799739,5367,741371,87882,435980,142143,924520,0,0
42,1,0,0,764,1593508,23387,1563846,4050,665149,80624,393435,124010,815570,0,0
42,2,0,0,2050,1583853,21520,1577049,6164,680482,85743,407284,124443,841812,0,0
42,3,0,0,1548,1793849,23762,1775093,5883,757895,85983,454178,134922,940863,0,0
43,1,0,0,1315,1514514,28571,2005818,5781,554506,112836,336440,121866,642925,0,0
43,2,0,0,1250,1684983,29405,2240602,6528,632244,125758,377269,139208,732031,0,0
43,3,0,0,2900,1598344,28505,2079366,6234,569869,117117,356001,133672,674022,0,0
44,1,0,0,2539,1544103,25738,2064671,5707,573465,122157,350975,131941,685809,0,0
44,2,0,0,2008,1556342,27171,2074596,5700,605182,116737,363002,132884,703163,0,0
44,3,0,0,2500,1485149,26554,1971840,3221,582556,106193,341790,127836,674204,0,0
45,1,0,0,2250,1703642,29147,1924055,5608,709153,95592,418190,132276,849319,0,0
45,2,0,0,1944,1641018,26305,1920478,6545,690276,101393,420617,130824,841739,0,0
45,3,0,0,1543,1692851,27730,1994644,6792,711149,105792,429450,133372,849519,0,0
46,1,0,0,1283,1586884,40643,2199979,6659,624529,123496,373896,134816,732681,0,0
46,2,0,0,1960,1785700,44213,2420645,6002,705355,138222,413869,143768,834943,0,0
46,3,0,0,2567,1545222,36977,2114632,6034,605800,124621,361610,126036,710446,0,0
47,1,0,0,1767,1598323,37092,2209538,5389,644874,118343,400168,128048,772609,0,0
47,2,0,0,1900,1736115,41596,2338759,5084,726628,136991,429895,142353,852208,0,0
47,3,0,0,3023,1678699,38442,2229767,5738,681626,125041,395065,137024,815244,0,0
48,1,0,0,1817,1568325,39159,2067332,5313,592119,120202,363791,127390,732918,0,0
48,2,0,0,2035,1745820,46813,2309759,8134,676749,134039,396281,144339,805498,0,0
