isotope,isotope_199,isotope_200,isotope_201,isotope_202,isotope_204
196,0.00,0.01,0.00,0.15,0.03
198,1.25,0.13,0.06,9.97,0.11
199,90.89,0.99,0.14,16.87,0.17
200,4.28,96.41,0.94,23.10,0.26
201,1.01,1.46,96.48,13.18,0.22
202,1.97,0.91,2.28,29.86,1.13
204,0.60,0.10,0.10,6.87,98.11
